Classification Level,Count
Magnetococcaceae,273
Halothiobacillaceae,492
Nocardiopsaceae,1522
Dethiobacteraceae,191
Endomicrobiaceae,354
Fervidobacteriaceae,207
Terasakiellaceae,223
Oligosphaeraceae,147
Caminicellaceae,126
Magnetospiraceae,718
Heliobacteriaceae,144
Schleiferiaceae,133
Ectothiorhodospiraceae,939
Pedosphaeraceae,624
Ferrovibrionaceae,70
Acidimicrobiaceae,185
Desulfurivibrionaceae,190
Entotheonellaceae,89
Desulfolunaceae,122
Desulfobaccaceae,107
Smithellaceae,302
Caldilineaceae,451
Desulfomonilaceae,365
Brocadiaceae,417
Sulfobacillaceae,277
Gallaecimonadaceae,21
Microbulbiferaceae,289
Peptococcaceae,453
Sulfuricellaceae,488
Williamwhitmaniaceae,233
Ardenticatenaceae,109
Nodosilineaceae,354
Tsukamurellaceae,264
Ferrovaceae,134
Omnitrophaceae,506
Desulfobacteraceae,936
Sedimentibacteraceae,300
Ignavibacteriaceae,245
Limnotrichaceae,86
Petrotogaceae,440
Salisediminibacteriaceae,239
Oleiphilaceae,99
Calditrichaceae,199
Eurycoccales Incertae Sedis,31
Pleomorphomonadaceae,208
Iodidimonadaceae,33
Acidiferrobacteraceae,292
Caedibacteraceae,59
Vicinamibacteraceae,202
Moritellaceae,205
Saccharospirillaceae,775
Family III,173
Kiloniellaceae,599
Caldatribacteriaceae,117
Halobacteroidaceae,111
Caldicoprobacteraceae,220
Marinococcaceae,241
Syntrophotaleaceae,203
Oxobacteraceae,83
Acanthopleuribacteraceae,42
Methylococcaceae,187
Magnetospirillaceae,221
Acidothermaceae,154
Cytophagaceae,209
Granulosicoccaceae,121
Geopsychrobacteraceae,132
Kaistiaceae,72
Wohlfahrtiimonadaceae,108
Xenococcaceae,220
Defluviitaleaceae,301
Gaiellaceae,385
Streptosporangiales Incertae Sedis,9
Thioalkalispiraceae,238
Acidihalobacteraceae,20
Gloeobacteraceae,45
Immundisolibacteraceae,297
Aquaspirillaceae,214
Kordiimonadaceae,166
Leptococcaceae,49
Desulfitobacteriaceae,614
Herpetosiphonaceae,30
Holosporaceae,187
Pelotomaculaceae,236
Thermodesulfovibrionaceae,114
Kangiellaceae,160
Geminicoccaceae,142
Parachlamydiaceae,155
Thermoflexaceae,86
Competibacteraceae,308
Parvibaculaceae,218
Sanguibacteraceae,160
Syntrophomonadaceae,456
Thioreductoraceae,15
Thermosynechococcaceae,106
Inquilinaceae,108
Rhodospirillaceae,525
Syntrophobotulaceae,112
Thermopetrobacteraceae,21
Desulfurobacteriaceae,45
Phormidesmiaceae,161
Phaselicystidaceae,153
Schlesneriaceae,164
Geothermobacteraceae,69
Chthonomonadaceae,48
Dissulfuribacteraceae,142
Nitrococcaceae,194
Oligoflexaceae,272
Syntrophorhabdaceae,303
Cycloclasticaceae,200
Thiohalorhabdaceae,86
Chitinibacteraceae,157
Elsteraceae,92
Pseudanabaenaceae,229
Thermotogaceae,123
Terrimicrobiaceae,147
Dermatophilaceae,100
Magnetobacteriaceae,24
Thermotaleaceae,55
Halorhodospiraceae,162
Salinisphaeraceae,71
Micrococcales Incertae Sedis,101
Fokiniaceae,109
Actinomycetales Incertae Sedis,48
Hahellaceae,76
Xiphinematobacteraceae,118
Natranaerobiaceae,39
Oceanibaculaceae,26
Proteiniboraceae,33
Defluviicoccaceae,120
Mesoaciditogaceae,31
Vampirovibrionaceae,35
Desertifilaceae,119
Segniliparaceae,48
Haloplasmataceae,45
Desulfuromonadaceae,261
Carboxydothermaceae,23
Desulfoplanaceae,131
Thermacetogeniaceae,129
Coriobacteriales Incertae Sedis,103
Prochloraceae,51
Methylopilaceae,35
Acidaminobacteraceae,80
Chloracidobacteriaceae,24
Victivallaceae,69
Catellicoccaceae,136
Tistrellaceae,72
Waddliaceae,12
Nitratiruptoraceae,29
Azospirillales Incertae Sedis,108
Nautiliaceae,109
Desulfitibacteraceae,65
Desulfotomaculales Incertae Sedis,106
Elusimicrobiaceae,31
Longimicrobiaceae,67
Rhodomicrobiaceae,134
Chloroherpetonaceae,31
Chitinimonadaceae,98
Geitlerinemaceae,110
AB-539-J10,66
Litoricolaceae,98
Desulfurellaceae,41
Acaryochloridaceae,20
Thermobaculaceae,14
Anaerofustaceae,64
Tenderiaceae,80
Acidimicrobiales Incertae Sedis,23
Rhodobiaceae,98
Izemoplasmataceae,35
Vulgatibacteraceae,22
Alcanivoracaceae,85
Chitinivibrionaceae,13
Thermodesulfobacteriaceae,153
Ancalomicrobiaceae,11
Moorellaceae,90
Thermolithobacteraceae,16
Bernardetiaceae,20
Carboxydocellaceae,19
Alkalibacteraceae,16
Gloeocapsaceae,30
Beutenbergiaceae,27
Armatimonadaceae,34
Desulfonauticaceae,12
Desulfuribacillaceae,13
Caldisericaceae,43
Thermonemataceae,14
Actinospicaceae,64
Thermoleophilaceae,6
Chrysiogenaceae,13
Incertae Sedis,12
Limnochordaceae,12
Lentisphaeraceae,50
Caldalkalibacillaceae,22
Hydrogenimonadaceae,23
Corynebacteriales Incertae Sedis,16
Oceanospirillaceae,31
Algiphilaceae,10
Synechococcaceae,35
Silvanigrellaceae,57
Raineyaceae,32
Brevinemataceae,26
SAR116 clade,47
Enterobacterales Incertae Sedis,28
Brachyspirales Incertae Sedis,52
Thermodesulfobiaceae,14
Chlamydiales Incertae Sedis,58
Thalassobaculaceae,35
Zavarziniaceae,12
Babeliaceae,6
Desulfarculaceae,45
Defferrisomataceae,32
Nitrococcales Incertae Sedis,23
Catenulisporaceae,38
Desulfofervidaceae,25
Geoalkalibacteraceae,31
Bacteroidales Incertae Sedis,10
Paceibacteraceae,12
Criblamydiaceae,7
Cyanobacteriales Incertae Sedis,23
Thermaerobacteraceae,18
Obscuribacteraceae,43
Flavobacteriales Incertae Sedis,16
Midichloriaceae,14
Desulfonatronaceae,33
Puniceispirillales Incertae Sedis,40
Garciellaceae,26
Emcibacteraceae,5
Thorselliaceae,5
Hippeaceae,18
Kallotenuaceae,22
Thermodesulforhabdaceae,12
Chamaesiphonaceae,7
Elioraeaceae,8
Dehalococcoidales Incertae Sedis,11
Celerinatantimonadaceae,7
Temperatibacteraceae,3
Family IV,8
Burkholderiales Incertae Sedis,15
Nitriliruptoraceae,16
Moduliflexaceae,9
Neosynechococcaceae,1
Cryptosporangiaceae,28
Mooreiaceae,3
Dictyoglomaceae,20
Fimbriimonadaceae,9
Synechococcales Incertae Sedis,11
Ruaniaceae,14
Bradymonadaceae,8
Pseudopelobacteraceae,8
Desulforegulaceae,4
Lutibaculaceae,5
Rarobacteraceae,8
Procabacteriaceae,10
Geitlerinemataceae,4
Kordiimonadales Incertae Sedis,2
Calderihabitantaceae,1
Thermosulfidibacteraceae,3
