Classification Level,Count
Brocadiaceae,417
Methylococcaceae,187
Rs-E47 termite group,94
Desertifilaceae,119
Halorhodospiraceae,162
Hydrogenedensaceae,102
Nitratiruptoraceae,29
Brachyspirales Incertae Sedis,52
Geitlerinemaceae,110
Roseiflexaceae,321
Desulfurisporaceae,270
Thermoanaerobacteraceae,618
Xenococcaceae,220
Caldisericaceae,43
Geminicoccaceae,142
Rubrobacteriaceae,466
Gaiellaceae,385
Sedimentibacteraceae,300
Nitrospinaceae,705
Desulfitibacteraceae,65
Inquilinaceae,108
Haloplasmataceae,45
Acidiferrobacteraceae,292
Thermoactinomycetaceae,561
Opitutaceae,807
Micavibrionaceae,246
Nakamurellaceae,209
Dictyoglomaceae,20
Beggiatoaceae,454
Ectothiorhodospiraceae,939
Herpetosiphonaceae,30
Pleomorphomonadaceae,208
Abditibacteriaceae,240
Brachyspiraceae,684
Elsteraceae,92
Cycloclasticaceae,200
Piscirickettsiaceae,288
Sporolactobacillaceae,275
Geopsychrobacteraceae,132
Litoricolaceae,98
Hahellaceae,76
Spongiibacteraceae,445
Vagococcaceae,222
Actinomycetales Incertae Sedis,48
Schleiferiaceae,133
Deferribacteraceae,420
Schlesneriaceae,164
Thermoflexaceae,86
Kosmotogaceae,175
Terrimicrobiaceae,147
Muribaculaceae,163
Thioalkalispiraceae,238
Acidihalobacteraceae,20
Thermicanaceae,146
Verrucomicrobiaceae,382
Koribacteraceae,187
Moorellaceae,90
Wohlfahrtiimonadaceae,108
Coriobacteriales Incertae Sedis,103
Aquaspirillaceae,214
Acidothermaceae,154
Caloramatoraceae,634
Nitrococcales Incertae Sedis,23
Cyanobacteriaceae,306
Sneathiellaceae,80
Thermopetrobacteraceae,21
Alcanivoracaceae,85
Gimesiaceae,208
Psychromonadaceae,265
Mesoaciditogaceae,31
Immundisolibacteraceae,297
Syntrophobotulaceae,112
Vicinamibacteraceae,202
Syntrophobacteraceae,271
Francisellaceae,678
Parvibaculaceae,218
Endomicrobiaceae,354
Bogoriellaceae,124
Methylomirabilaceae,267
Thermodesulfovibrionaceae,114
Caldilineaceae,451
Azospirillales Incertae Sedis,108
Limnotrichaceae,86
Caldatribacteriaceae,117
Tistrellaceae,72
Melioribacteraceae,116
Kyrpidiaceae,127
Ammonificaceae,51
Vulgatibacteraceae,22
Defluviicoccaceae,120
Dissulfuribacteraceae,142
Phaselicystidaceae,153
Syntrophotaleaceae,203
Acanthopleuribacteraceae,42
Aneurinibacillaceae,301
Desulfofervidaceae,25
Desulfoplanaceae,131
Paraspirulinaceae,286
Parvularculaceae,189
Chloracidobacteriaceae,24
Entomoplasmatales Incertae Sedis,241
Sulfobacillaceae,277
Anaeromyxobacteraceae,182
Salinisphaeraceae,71
Kaistiaceae,72
Family III,173
Dehalococcoidaceae,297
Thermodesulfobacteriaceae,153
Desulfobaccaceae,107
Thermincolaceae,321
Defluviitaleaceae,301
Oligosphaeraceae,147
Cryptosporangiaceae,28
Dermacoccaceae,318
Methylacidiphilaceae,240
Tenderiaceae,80
Ktedonobacteraceae,552
Chitinimonadaceae,98
Williamwhitmaniaceae,233
Caminicellaceae,126
Cytophagaceae,209
Fervidobacteriaceae,207
Elusimicrobiaceae,31
Chitinivibrionaceae,13
Thermacetogeniaceae,129
Desulfurobacteriaceae,45
Victivallaceae,69
Prochloraceae,51
Tepidisphaeraceae,32
Garciellaceae,26
Entotheonellaceae,89
Longimicrobiaceae,67
Defferrisomataceae,32
Gloeocapsaceae,30
Euzebyaceae,179
Salisediminibacteriaceae,239
