Classification Level,Count
Cellulomonadaceae,696
Desulfolunaceae,122
Magnetospiraceae,718
Kordiimonadaceae,166
Dehalococcoidaceae,297
Endomicrobiaceae,354
Rubritaleaceae,869
Barnesiellaceae,1029
Syntrophotaleaceae,203
Hydrogenimonadaceae,23
Haliangiaceae,800
Terasakiellaceae,223
Chlorobiaceae,489
Budviciaceae,96
Paraspirulinaceae,286
Hyphomonadaceae,2515
Halanaerobiaceae,437
Oleiphilaceae,99
Granulosicoccaceae,121
Saccharospirillaceae,775
Abditibacteriaceae,240
Calditrichaceae,199
Gloeocapsaceae,30
Cryomorphaceae,1556
Desulfobulbaceae,733
Desulfomonilaceae,365
Oceanospirillaceae,31
Gimesiaceae,208
Pseudohongiellaceae,692
Nodosilineaceae,354
Chloroflexaceae,675
Fibrobacteraceae,699
Marinococcaceae,241
Chitinibacteraceae,157
Wohlfahrtiimonadaceae,108
Moorellaceae,90
Porticoccaceae,875
Sporolactobacillaceae,275
Salisediminibacteriaceae,239
Schlesneriaceae,164
Bacteriovoracaceae,755
Pyrinomonadaceae,1266
Competibacteraceae,308
Alicyclobacillaceae,1149
Pleomorphomonadaceae,208
Rhodobiaceae,98
Anaerofustaceae,64
Nitrococcales Incertae Sedis,23
Oligoflexaceae,272
Sporomusaceae,730
Elsteraceae,92
Litoricolaceae,98
Holophagaceae,361
Methylomirabilaceae,267
Coprothermobacteraceae,379
Kiritimatiellaceae,339
Muribaculaceae,163
Psychromonadaceae,265
Thermincolaceae,321
Trueperaceae,551
Magnetococcaceae,273
Kiloniellaceae,599
Paracaedibacteraceae,254
Microtrichaceae,2200
Geothermobacteraceae,69
Caedibacteraceae,59
Parachlamydiaceae,155
AB-539-J10,66
Bogoriellaceae,124
Nakamurellaceae,209
Sedimenticolaceae,625
Gaiellaceae,385
Ethanoligenenaceae,158
Dethiosulfatibacteraceae,101
Dissulfuribacteraceae,142
Xenococcaceae,220
Anaeromyxobacteraceae,182
Sulfuricellaceae,488
Tsukamurellaceae,264
Crocinitomicaceae,863
Roseiflexaceae,321
Scalinduaceae,266
Hahellaceae,76
Syntrophobotulaceae,112
Sulfobacillaceae,277
Reyranellaceae,634
Acidiferrobacteraceae,292
Thermacetogeniaceae,129
Chitinimonadaceae,98
Hydrogenedensaceae,102
Kaistiaceae,72
Vagococcaceae,222
Geodermatophilaceae,627
Kosmotogaceae,175
Piscirickettsiaceae,288
Smithellaceae,302
Rubrobacteriaceae,466
Desulfuromonadaceae,261
Entomoplasmataceae,287
Xiphinematobacteraceae,118
Catellicoccaceae,136
Demequinaceae,143
Sneathiellaceae,80
Kangiellaceae,160
Solirubrobacteraceae,755
Methylococcaceae,187
Methylacidiphilaceae,240
Acidimicrobiaceae,185
Desulfurellaceae,41
Geopsychrobacteraceae,132
Desertifilaceae,119
Tenderiaceae,80
Ardenticatenaceae,109
Schleiferiaceae,133
Parvularculaceae,189
Ferrovibrionaceae,70
Thermoactinomycetaceae,561
Thermotaleaceae,55
Fervidobacteriaceae,207
Coriobacteriales Incertae Sedis,103
Methyloligellaceae,576
Natranaerobiaceae,39
Heliobacteriaceae,144
Latescibacteraceae,167
Brocadiaceae,417
Caldatribacteriaceae,117
Lentisphaeraceae,50
Aneurinibacillaceae,301
Dethiobacteraceae,191
Thalassospiraceae,522
Micropepsaceae,302
Chlamydiales Incertae Sedis,58
Holosporaceae,187
Entotheonellaceae,89
Gloeobacteraceae,45
Vicinamibacteraceae,202
Frankiaceae,334
Thalassobaculaceae,35
Dermacoccaceae,318
Caldicoprobacteraceae,220
Caminicellaceae,126
Desulfonatronovibrionaceae,37
Thermodesulfovibrionaceae,114
Rhodomicrobiaceae,134
Geminicoccaceae,142
Inquilinaceae,108
Pseudanabaenaceae,229
Acidaminobacteraceae,80
Garciellaceae,26
Williamwhitmaniaceae,233
Thiohalorhabdaceae,86
Halobacteroidaceae,111
Chloracidobacteriaceae,24
Oscillatoriaceae,206
Thioalkalispiraceae,238
Syntrophorhabdaceae,303
Thermoflexaceae,86
Ignavibacteriaceae,245
Sanguibacteraceae,160
Caldisericaceae,43
Thermodesulfobacteriaceae,153
Oceanibaculaceae,26
Nisaeaceae,116
Nannocystaceae,217
Ammonificaceae,51
Cycloclasticaceae,200
Dictyoglomaceae,20
Euzebyaceae,179
Desulfitibacteraceae,65
Terrimicrobiaceae,147
Haloplasmataceae,45
Oligosphaeraceae,147
Puniceispirillales Incertae Sedis,40
Oxobacteraceae,83
Enterobacterales Incertae Sedis,28
Prochloraceae,51
Acanthopleuribacteraceae,42
Obscuribacteraceae,43
Salinisphaeraceae,71
Thioalkalibacteraceae,141
Geitlerinemaceae,110
Nitratiruptoraceae,29
Aquaspirillaceae,214
Melioribacteraceae,116
Dermatophilaceae,100
Verrucomicrobiaceae,382
Izemoplasmataceae,35
Desulfobaccaceae,107
Jonesiaceae,38
Thermotogaceae,123
Silvanigrellaceae,57
Chloroherpetonaceae,31
Kallotenuaceae,22
Rs-E47 termite group,94
Catenulisporaceae,38
Simkaniaceae,123
Thermosynechococcaceae,106
Desulfoplanaceae,131
Longimicrobiaceae,67
Segniliparaceae,48
Defluviicoccaceae,120
Herpetosiphonaceae,30
Acidothermaceae,154
Desulfurobacteriaceae,45
SAR116 clade,47
Ferrovaceae,134
Tepidisphaeraceae,32
Victivallaceae,69
Desulforudaceae,68
Actinospicaceae,64
Tistrellaceae,72
Thermopetrobacteraceae,21
Magnetobacteriaceae,24
Acidimicrobiales Incertae Sedis,23
Defferrisomataceae,32
Elusimicrobiaceae,31
Methylohalobiaceae,21
Brevinemataceae,26
Acidihalobacteraceae,20
Raineyaceae,32
Mesoaciditogaceae,31
Actinomycetales Incertae Sedis,48
Desulfofervidaceae,25
Carboxydothermaceae,23
Methylopilaceae,35
Gallaecimonadaceae,21
Armatimonadaceae,34
Bernardetiaceae,20
Synechococcaceae,35
Caldalkalibacillaceae,22
Cyanobacteriales Incertae Sedis,23
Proteiniboraceae,33
Desulfarculaceae,45
Brachyspirales Incertae Sedis,52
Cryptosporangiaceae,28
Geoalkalibacteraceae,31
Leptococcaceae,49
Beutenbergiaceae,27
Vulgatibacteraceae,22
Iodidimonadaceae,33
Kryptoniaceae,31
Acaryochloridaceae,20
