Classification Level,Count
Granulosicoccales,121
Pseudanabaenales,229
Alphaproteobacteria Incertae Sedis,119
Kordiimonadales,204
Planctomycetales,1135
Endomicrobiales,354
Kiritimatiellales,339
Deferribacterales,420
Dongiales,481
Brachyspirales,736
Methylomirabilales,267
Holophagales,361
Acidimicrobiales,208
Desulfitibacterales,65
Carboxydothermales,23
Piscirickettsiales,288
Limnotrichales,86
Parvibaculales,218
Puniceispirillales,87
Ignavibacteriales,361
Defluviicoccales,120
Beggiatoales,454
Eubacteriales,630
Acidiferrobacterales,292
Syntrophorhabdales,303
Micavibrionales,246
Nannocystales,217
Silvanigrellales,57
Paracaedibacterales,254
Oxyphotobacteria Incertae Sedis,75
Mariprofundales,217
Elsterales,92
Solirubrobacterales,755
Abditibacteriales,240
Thermomicrobiales,59
Magnetococcales,273
Thalassobaculales,177
Nautiliales,109
Nitrococcales,379
Holosporales,187
Kineosporiales,320
Glycomycetales,213
Desulfobaccales,107
Dictyoglomales,20
Catenulisporales,102
Desulfurellales,59
Obscuribacterales,43
Thermodesulfobacteriales,153
Ardenticatenales,109
Desulfarculales,45
Magnetobacteriales,24
Petrotogales,440
Chloracidobacteriales,24
Sneathiellales,80
Brevinematales,26
Elusimicrobiales,31
Dissulfuribacterales,142
Desulfofervidales,25
Acanthopleuribacterales,42
Chitinivibrionia Incertae Sedis,28
Entotheonellales,89
Chthonomonadales,48
Thermacetogeniales,129
Aneurinibacillales,301
Sulfobacillales,277
Tistrellales,214
Ferrovibrionales,70
Caedibacterales,59
Oligoflexales,272
Thermoflexales,86
Oligosphaerales,147
Kosmotogales,175
Calditrichales,199
Kallotenuales,22
Ammonifexales,119
Victivallales,69
Caldalkalibacillales,22
SBR1031,31
Vampirovibrionales,35
Tenderiales,80
Armatimonadales,34
Desulfurobacteriales,45
Haloplasmatales,45
Natranaerobiales,39
Mesoaciditogales,31
Tepidisphaerales,32
Izemoplasmatales,35
Lentisphaerales,50
Kryptoniales,31
